SKU,CSV_Name,DB_Name,Old_Price,New_Price
FWSG23SS03G,Combo Mắt Kính Nữ FWSG23SS03G + Hộp Mắt Kính SG23-BOX1,Combo Mắt Kính Nữ FWSG23SS03G + Hộp Mắt Kính SG23-BOX1,500000.0,408000.0
FWSK22FH16G,Chân Váy xòe chữ A thanh lịch FWSK22FH16G,Chân Váy xòe chữ A thanh lịch FWSK22FH16G,500000.0,549000.0
FWSK22FH17G,Chân váy xòe chữ A thanh lịch FWSK22FH17G,Chân váy xòe chữ A thanh lịch FWSK22FH17G,500000.0,449000.0
FWSK22SS05C,Chân váy bút chì nút lệch FWSK22SS05C,Chân váy bút chì nút lệch FWSK22SS05C,500000.0,399000.0
FWSK23FH02C,Chân Váy Vạt Chéo Thanh Lịch FWSK23FH02C,Chân Váy Vạt Chéo Thanh Lịch FWSK23FH02C,500000.0,499000.0
FWSK23FH06G,Chân Váy Jeans Cá Tính FWSK23FH06G,Chân Váy Jeans Cá Tính FWSK23FH06G,500000.0,549000.0
FWSK23SS05G,Chân Váy Maxi Hoa Nữ Tính FWSK23SS05G,Chân Váy Maxi Hoa Nữ Tính FWSK23SS05G,500000.0,599000.0
FWSK23SS14G,Chân Váy Bút Chì Form Basic FWSK23SS14G,Chân Váy Bút Chì Form Basic FWSK23SS14G,500000.0,499000.0
FWSK24FH01C,Chân Váy Nữ Thanh Lịch  FWSK24FH01C,Chân Váy Nữ Thanh Lịch FWSK24FH01C,500000.0,329000.0
FWSK24FH05C,Chân Váy Nữ FWSK24FH05C,Chân Váy Nữ FWSK24FH05C,500000.0,499000.0
FWSK24FH13C,Chân Váy Thiết Kế FWSK24FH13C,Chân Váy Thiết Kế FWSK24FH13C,500000.0,399000.0
FWSK24FH15C,Chân Váy A Xếp Ly Màu Be FWSK24FH15C,Chân Váy A Xếp Ly Màu Be FWSK24FH15C,500000.0,499000.0
FWSK25SS02G,Chân Váy Freelancer – FWSK25SS02G,Chân Váy Freelancer – FWSK25SS02G,500000.0,449000.0
FWSK25SS04G,Chân Váy Freelancer – FWSK25SS04G,Chân Váy Freelancer – FWSK25SS04G,500000.0,449000.0
FWSK25SS07C,Chân Váy Freelancer – FWSK25SS07C,Chân Váy Freelancer – FWSK25SS07C,500000.0,399000.0
FWSK25SS12C,Chân Váy Ngắn Bất Đối Xứng FWSK25SS12C,Chân Váy Ngắn Bất Đối Xứng FWSK25SS12C,500000.0,349000.0
FWSP24FH04C,Quần Short Đắp Tà Cạp Cao Freelancer FWSP24FH04C,Quần Short Đắp Tà Cạp Cao Freelancer FWSP24FH04C,500000.0,369000.0
FWSP24FH06C,Quần Short Nữ Vạt Xéo Thanh Lịch FWSP24FH06C,Quần Short Nữ Vạt Xéo Thanh Lịch FWSP24FH06C,500000.0,349000.0
FWSP24SS01C,Quần Short Nữ Thời Trang FWSP24SS01C,Quần Short Nữ Thời Trang FWSP24SS01C,500000.0,349000.0
