SKU,Name,Price,category,brand,StockQuantity,InStock,IsFeatured,IsActive,Rating,ReviewCount,CreatedAt
WS24FH58P-LD,Áo Sơ Mi Nam Tay Dài Form Vừa WS24FH58P-LD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.132144+07
WS24FH57T-SDBB,Áo Sơ Mi Công Sở Tay Ngắn WS24FH57T-SDBB,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.131349+07
WS24FH55C-SD,Áo Sơ Mi Tay Ngắn Form Vừa WS24FH55C-SD,549000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.130598+07
WS24FH54P-LC,Áo Sơ Mi WS24FH54P-LC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.12992+07
WS24FH46T-LDBB,ÁO SƠ MI CÔNG SỞ KIỂU DÁNG LỊCH LÃM WS24FH46T-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.129287+07
WS24FH45C-LCBB,SƠ MI TAY DÀI DÁNG TRẺ TRUNG WS24FH45C-LCBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.128682+07
WS24FH39P-SC,Áo Sơ Mi Nam Tay Ngắn WS24FH39P-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.128037+07
WS24FH38T-SC,Áo Sơ Mi Nam Tay Ngắn WS24FH38T-SC,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.127402+07
WS24ES60C-SDBB,ÁO SƠ MI CÔNG SỞ KIỂU DÁNG THỜI TRANG WS24ES60C-SDBB,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.126767+07
WS24ES59C-LDBB,Áo Sơ Mi Tay Dài WS24ES59C-LDBB,800000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.124593+07
WS24ES52C-SD,Áo Sơ Mi Công Sở Ngắn WS24ES52C-SD,700000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.123962+07
WS24ES50T-SD,Áo Sơ Mi Tay Ngắn Form Vừa WS24ES50T-SD,650000.00,Áo nam,John Henry,100,t,f,t,0,0,2025-10-09 22:54:42.12337+07
